sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,1731,-174,3747
1,1731,-192,3636
2,1557,-192,3636
3,1557,-168,3831
4,1749,-153,3831
5,1638,-153,3771
6,1638,-159,3594
7,1698,-177,3594
8,1698,-177,3702
9,1971,-159,3702
10,1800,-159,3561
11,1800,-237,3636
12,1761,-150,3636
13,1761,-150,3741
14,1719,-198,3741
15,1731,-198,3666
16,1731,-192,3639
17,1752,-204,3639
18,1752,-204,3624
19,1809,-174,3624
20,1683,-174,3684
21,1683,-144,3750
22,1821,-174,3750
23,1821,-174,3750
24,1512,6,3750
25,2286,6,3936
26,2286,288,3897
27,2244,-6,3897
28,2244,-6,3786
29,1782,-120,3786
30,1329,-120,4005
31,1329,-198,4053
32,1125,-183,4053
33,1581,-183,4167
34,1581,-228,4167
35,1683,-228,4032
36,1683,-450,3936
37,1869,-369,3936
38,2178,-369,4077
39,2178,-141,4077
40,2946,-141,4332
41,2946,-588,4212
42,2658,-957,4212
43,3006,-957,3804
44,3006,-1167,3834
45,1740,-1167,3834
46,1740,-762,4050
47,1383,-795,4050
48,930,-795,4095
49,930,-621,4158
50,1287,-621,4158
51,1287,-396,3927
52,1206,-534,3927
53,1449,-534,3639
54,1449,-792,3288
55,1488,-792,3288
56,1488,-1083,2949
57,1779,-624,2949
58,2022,-624,2982
59,2022,27,3405
60,1647,27,3405
61,1647,-333,3516
62,882,-789,3516
63,906,-789,3513
64,906,-1035,3072
65,435,-1035,3072
66,435,-1740,2778
67,12,-1809,2778
68,-411,-1809,2889
69,-411,-1800,3159
70,-99,-1800,3159
71,-99,-1206,3318
72,-357,-1575,3318
73,-144,-1575,3525
74,-144,-1812,3375
75,-684,-1812,3375
76,-684,-2835,2400
77,-972,-2700,2400
78,708,-2700,2733
79,708,-1656,3531
80,459,-906,3531
81,459,-906,4188
82,330,-1122,4188
83,-144,-1122,4032
84,-144,-2343,3483
85,-477,-3510,3483
86,-477,-3510,3234
87,-219,-3648,3234
88,-378,-3648,2979
89,-378,-3048,2919
90,-402,-1644,2919
91,-402,-1644,3429
92,123,-1023,3429
93,606,-1023,4266
94,606,-1782,4221
95,357,-2424,4221
96,357,-2424,4035
97,-42,-2709,4035
98,-567,-2709,3870
99,-567,-2670,3834
100,-618,-2181,3834
101,-618,-2181,3801
102,-249,-1806,3801
103,354,-1806,3957
104,354,-1839,4011
105,753,-1719,4011
106,753,-1719,4101
107,1047,-1977,4101
108,747,-1977,4080
109,747,-1932,4092
110,417,-1938,4092
111,69,-1938,4050
112,69,-1965,4050
113,60,-1965,3930
114,60,-1662,3951
115,90,-1671,3951
116,-9,-1671,3966
117,-9,-1746,3966
118,198,-1746,3927
119,198,-1584,3915
120,333,-1359,3915
121,627,-1359,4005
122,627,-1065,3789
123,381,-1065,3789
124,381,-1110,3765
125,459,-1101,3765
126,324,-1101,3741
127,324,-990,3720
128,-9,-990,3720
129,-9,-1185,3831
130,-162,-1254,3831
131,-348,-1254,3966
132,-348,-966,4155
133,-393,-966,4155
134,-393,-762,4071
135,-549,-816,4071
136,-555,-816,3870
137,-555,-933,3621
138,-396,-933,3621
139,-396,-873,3453
140,-111,-1083,3453
141,108,-1083,3339
142,108,-1122,3288
143,195,-1122,3288
144,195,-1020,3375
145,306,-819,3375
146,297,-819,3339
147,297,-813,3450
148,426,-813,3450
149,426,-936,3675
150,441,-1062,3675
151,372,-1062,3876
152,372,-969,4110
153,105,-969,4110
154,105,-804,4176
155,-33,-528,4176
156,81,-528,4368
157,81,-405,4518
158,339,-381,4518
159,339,-381,4599
160,348,-420,4599
161,96,-420,4554
162,96,-387,4437
163,-99,-378,4437
164,-99,-378,4383
165,-24,-348,4383
166,354,-348,4206
167,354,-339,4233
168,609,-495,4233
169,609,-495,4131
170,390,-465,4131
171,249,-465,3987
172,249,-249,3927
173,156,-225,3927
174,156,-225,3912
175,228,-72,3912
176,555,-72,3891
177,555,108,3951
178,771,30,3951
179,789,30,3786
180,789,84,3786
181,720,84,3726
182,720,-114,3762
183,831,72,3762
184,717,72,3897
185,717,117,3897
186,663,117,3867
187,663,-159,3765
188,657,-474,3765
189,591,-474,3741
190,591,-609,3777
191,720,-609,3777
192,720,-627,3852
193,990,-627,3852
194,936,-627,4140
195,936,-501,4116
196,684,-501,4116
197,684,-741,4191
198,555,-654,4191
199,546,-654,4272
200,546,-366,4398
201,579,-366,4398
202,579,-264,4539
203,630,-348,4539
204,642,-348,4644
205,642,-381,4668
206,501,-381,4668
207,501,-168,4647
208,381,-135,4647
209,384,-135,4698
210,384,-96,4614
211,510,-96,4614
212,510,-390,4473
213,570,-609,4473
214,681,-609,4344
215,681,-552,4338
216,783,-474,4338
217,783,-474,4344
218,759,-474,4344
219,804,-474,4302
220,804,-501,4296
221,1062,-354,4296
222,1062,-354,4317
223,1251,-228,4317
224,1314,-228,4389
225,1314,-393,4338
226,1512,-510,4338
227,1512,-510,4464
228,1758,-534,4464
229,1854,-534,4527
230,1854,-192,4638
231,1779,-180,4638
232,1779,-180,4614
233,1695,-348,4614
234,1614,-348,4527
235,1614,-552,4437
236,1770,-504,4437
237,1770,-504,4464
238,2052,-312,4464
239,2214,-312,4593
240,2214,-93,4743
241,2016,-168,4743
242,1887,-168,4623
243,1887,-345,4623
244,1542,-345,4317
245,1542,-582,3972
246,1809,-444,3972
247,2880,-444,3957
248,2880,978,3957
249,3147,978,4233
250,3147,1923,4062
251,2355,1809,4062
252,1713,1809,3786
253,1713,1335,3786
254,1194,1335,3669
255,1194,1137,3726
256,2601,1464,3726
257,3522,1464,3831
258,3522,1491,3585
259,2808,1491,3585
260,2808,1077,3147
261,1521,948,3147
262,1533,948,3033
263,1533,861,2868
264,1977,861,2868
265,1977,1185,2928
266,2817,1242,2928
267,2007,1242,2598
268,2007,930,2562
269,1113,930,2562
270,1113,1062,2736
271,1185,1404,2736
272,1470,1404,2622
273,1470,1248,2466
274,1665,1248,2466
275,1665,600,2250
276,1401,291,2250
277,660,291,2445
278,660,627,2502
279,597,843,2502
280,597,843,2286
281,1434,234,2286
282,1047,234,1830
283,1047,27,1944
284,1005,684,1944
285,1005,684,2076
286,438,825,2076
287,-798,825,1941
288,-798,249,1920
289,-1110,12,1920
290,-1110,12,1839
291,-858,465,1839
292,-291,465,1995
293,-291,1542,2250
294,708,1722,2250
295,708,1722,2295
296,1518,1815,2295
297,1659,1815,2337
298,1659,2055,1974
299,1287,2679,1974
300,540,2679,1383
301,540,3228,1383
302,237,3228,1278
303,237,3129,1251
304,444,3150,1251
305,651,3150,1233
306,651,3450,1233
307,459,3450,1128
308,459,3321,936
309,993,3147,936
310,1878,3147,1161
311,1878,3111,1161
312,2304,3111,1644
313,2304,2913,1773
314,2361,2970,1773
315,2274,2970,1869
316,2274,3138,1854
317,2334,3138,1854
318,2334,3573,2094
319,2574,3927,2094
320,2790,3927,2214
321,2790,3960,2085
322,3036,3960,2085
323,3036,3654,2214
324,3231,3813,2214
325,2982,3813,2295
326,2982,4071,1833
327,2763,4071,1833
328,2763,4122,1353
329,2406,3939,1353
330,2214,3939,966
331,2214,3846,786
332,2319,3846,786
333,2319,4011,681
334,2124,4359,681
335,2199,4359,474
336,2199,4254,354
337,2190,4254,354
338,2190,4404,315
339,1794,4776,315
340,1527,4776,219
341,1527,5052,54
342,1434,5151,54
343,1434,5151,69
344,1323,5247,69
345,1284,5247,15
346,1284,5457,-72
347,1182,5634,-72
348,1182,5634,-93
349,1164,5589,-93
350,1020,5589,-192
351,1020,5634,-306
352,666,5757,-306
353,666,5757,-528
354,507,5598,-528
355,348,5598,-684
356,348,5334,-774
357,417,4470,-774
358,417,4470,-855
359,330,3573,-855
360,84,3573,-864
361,84,3105,-744
362,-105,2709,-744
363,-105,2709,-774
364,-135,2424,-774
365,-78,2424,-588
366,-78,2268,-414
367,-81,2424,-414
368,-9,2424,-246
369,-9,2466,-246
370,33,2466,-117
371,33,2670,-87
372,-111,2625,-87
373,-114,2625,-198
374,-114,2910,-198
375,-36,2910,-177
376,-36,3507,-33
377,123,3777,-33
378,27,3777,54
379,27,4437,54
380,-288,4437,-63
381,-288,5106,-198
382,-387,5982,-198
383,39,5982,-231
384,39,6057,-273
385,189,6057,-273
386,189,6141,-357
387,138,5946,-357
388,-78,5946,-384
389,-78,5688,-474
390,-342,5688,-474
391,-342,5424,-372
392,-558,5223,-372
393,-684,5223,-339
394,-684,4755,-258
395,-471,4755,-258
396,-471,4338,-96
397,-402,4104,-96
398,-489,4104,-66
399,-489,4221,-78
400,-609,4221,-78
401,-609,4146,-153
402,-609,3909,-153
403,-432,3909,-102
404,-432,3801,15
405,-210,3858,15
406,-210,3858,-102
407,-102,4044,-102
408,168,4044,18
409,168,4233,105
410,318,4338,105
411,318,4338,75
412,177,4365,75
413,-159,4365,54
414,-159,4389,78
415,-471,4227,78
416,-471,4227,30
417,-600,4089,30
418,-648,4089,9
419,-648,3909,-18
420,-636,3858,-18
421,-636,3858,-102
422,-678,3870,-102
423,-513,3870,-216
424,-513,3822,-258
425,-267,3834,-258
426,3,3834,-327
427,3,3876,-327
428,177,3876,-246
429,177,3828,-288
430,189,3735,-288
431,123,3735,-288
432,123,3708,-288
433,-18,3708,-246
434,-18,3708,-198
435,-75,3744,-198
436,-45,3744,-207
437,-45,3783,-36
438,-57,3783,-36
439,-57,3852,54
440,-177,3888,54
441,-183,3888,69
442,-183,3912,165
443,-84,3912,165
444,-84,4005,120
445,-6,4185,120
446,114,4185,183
447,114,4326,258
448,105,4326,258
449,105,4356,210
450,90,4428,210
451,201,4428,120
452,201,4704,210
453,303,4704,210
454,303,4905,264
455,249,4716,264
456,336,4716,195
457,336,4392,204
458,420,4392,204
459,420,4062,255
460,486,3897,255
461,444,3897,450
462,444,3843,555
463,249,3843,555
464,249,3825,702
465,177,3927,702
466,27,3927,771
467,27,4113,696
468,-114,4368,696
469,-114,4368,675
470,-219,4407,675
471,-267,4407,594
472,-267,4353,525
473,-99,4185,525
474,-99,4185,564
475,3,3993,564
476,174,3993,615
477,174,4002,642
478,246,3987,642
479,246,3987,645
480,255,3882,645
481,228,3882,606
482,228,3696,516
483,210,3549,516
484,210,3549,459
485,252,3537,459
486,354,3537,486
487,354,3678,474
488,420,3684,474
489,420,3684,534
490,387,3729,534
491,363,3729,504
492,363,3765,540
493,351,3855,540
494,351,3855,591
495,156,3969,591
496,-48,3969,651
497,-48,4131,555
498,-96,4167,555
499,3,4167,645
500,3,4227,645
501,174,4227,657
502,174,4245,555
503,192,4167,555
504,90,4167,531
505,90,4014,531
506,-48,4014,435
507,-48,3957,405
508,36,3894,405
509,75,3894,300
510,75,3807,300
511,81,3807,414
512,81,3876,456
513,-99,3906,456
514,-96,3906,414
515,-96,3900,414
516,96,3900,375
517,96,3789,309
518,138,3756,309
519,96,3756,324
520,96,3906,270
521,45,3906,270
522,45,4155,315
523,159,4323,315
524,261,4323,339
525,261,4518,249
526,219,4518,249
527,219,4593,288
528,111,4491,288
529,93,4491,165
530,93,4401,168
531,147,4401,168
532,147,4257,279
533,267,4191,279
534,279,4191,270
535,279,4161,381
536,207,4161,381
537,207,4098,384
538,129,4065,384
539,63,4065,396
540,63,4041,519
541,-48,4041,519
542,-48,3942,441
543,-147,3885,441
544,-102,3885,450
545,-102,3882,390
546,-12,3978,390
547,-12,3978,345
548,9,4074,345
549,60,4074,354
550,60,4056,240
551,48,4044,240
552,48,4044,153
553,78,4047,153
554,87,4047,168
555,87,4038,174
556,21,4113,174
557,21,4113,264
558,-12,4137,264
559,123,4137,285
560,123,4116,285
561,246,4065,285
562,246,4065,303
563,225,4032,303
564,87,4032,273
565,87,4002,288
566,54,4008,288
567,54,4008,225
568,90,4041,225
569,141,4041,330
570,141,4113,330
571,45,4149,330
572,-24,4149,399
573,-24,4155,399
574,24,4155,351
575,24,4155,294
576,87,4131,294
577,105,4131,375
