sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,1482,159,3750
1,1644,3,3750
2,1644,3,3774
3,1611,219,3774
4,1665,219,3639
5,1665,174,3819
6,999,-42,3819
7,999,-42,3831
8,1800,156,3831
9,1590,156,3861
10,1590,189,3915
11,1785,132,3915
12,1785,132,3927
13,1716,492,3927
14,1623,492,4503
15,1623,846,4476
16,1662,846,4476
17,1662,1956,4908
18,1575,1647,4908
19,1074,1647,4848
20,1074,1296,4974
21,1407,1296,4974
22,1407,1167,4935
23,1371,855,4935
24,1299,855,4773
25,1299,264,4524
26,1293,264,4524
27,1293,210,4482
28,1320,180,4482
29,1476,180,4578
30,1476,-87,4494
31,1587,-87,4494
32,1587,-111,4569
33,1398,-39,4569
34,1368,-39,4644
35,1368,-150,4644
36,1596,-150,4608
37,1596,-219,4680
38,2046,-363,4680
39,2034,-363,4680
40,2034,-435,4680
41,2001,-435,4512
42,2001,-81,4665
43,2517,-18,4665
44,2760,-18,4743
45,2760,60,4743
46,2871,60,4677
47,2871,-234,4452
48,2817,-495,4452
49,2817,-495,4116
50,2835,-423,4116
51,3015,-423,4026
52,3015,-48,3945
53,3195,27,3945
54,3195,27,3609
55,3195,-165,3609
56,2919,-165,3198
57,2919,-525,2808
58,3006,-363,2808
59,3006,-363,2553
60,3324,147,2553
61,3450,147,2406
62,3450,459,2115
63,3447,60,2115
64,3447,60,1584
65,3297,-339,1584
66,3492,-339,1233
67,3492,-528,843
68,3474,-483,843
69,3474,-483,630
70,3693,273,630
71,4017,273,516
72,4017,495,240
73,4134,495,240
74,4134,198,-162
75,4173,-126,-162
76,4218,-126,-654
77,4218,-546,-1221
78,4191,-546,-1221
79,4191,-429,-1401
80,4089,-87,-1401
81,3825,-87,-1356
82,3825,318,-1326
83,3810,318,-1326
84,3810,114,-1236
85,3990,-240,-1236
86,4065,-240,-1275
87,4065,-507,-1251
88,3813,-507,-1251
89,3813,-651,-1230
90,3426,-375,-1230
91,3126,-375,-978
92,3126,-102,-804
93,2565,-102,-804
94,2565,-315,-945
95,2427,-522,-945
96,2607,-522,-1131
97,2607,-621,-1131
98,2766,-621,-1350
99,2766,-594,-1527
100,2862,-24,-1527
101,2721,-24,-1446
102,2721,147,-1446
103,2622,147,-1395
104,2622,-102,-1611
105,2478,-318,-1611
106,2478,-318,-1791
107,2289,-381,-1791
108,1863,-381,-2067
109,1863,108,-2163
110,1875,732,-2163
