sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,816,894,-4020
1,768,846,-4020
2,717,846,-4053
3,717,876,-3990
4,723,876,-3990
5,723,891,-3960
6,759,888,-3960
7,750,888,-3930
8,750,897,-3954
9,666,897,-3954
10,666,921,-3903
11,666,921,-3903
12,705,921,-3870
13,705,870,-3960
14,723,870,-3960
15,723,873,-3993
16,654,783,-3993
17,573,783,-3963
18,573,786,-4005
19,471,786,-4005
20,471,777,-3975
21,591,825,-3975
22,708,825,-3990
23,708,867,-3960
24,690,867,-3960
25,690,858,-3969
26,537,834,-3969
27,435,834,-4023
28,435,747,-3993
29,417,747,-3993
30,417,804,-3960
31,402,846,-3960
32,468,846,-4008
33,468,882,-4029
34,420,882,-4029
35,420,891,-4074
36,408,888,-4074
37,378,888,-4083
38,378,882,-4053
39,378,882,-4053
40,378,885,-4134
41,486,894,-4134
42,570,894,-4179
43,570,900,-4191
44,639,900,-4191
45,639,849,-4104
46,621,912,-4104
47,561,912,-4140
48,561,879,-4053
49,576,879,-4053
50,576,756,-4044
51,678,669,-4044
52,675,669,-4098
53,675,693,-3975
54,609,693,-3975
55,609,717,-3903
56,522,873,-3903
57,453,873,-3744
58,453,1008,-3792
59,363,1008,-3792
60,363,1005,-3714
61,309,1035,-3714
62,264,1035,-3669
63,264,1014,-3642
64,189,1014,-3642
65,189,981,-3822
66,222,927,-3822
67,246,927,-3903
68,246,765,-3999
69,165,765,-3999
70,165,804,-4134
71,-30,840,-4134
72,-75,840,-4140
73,-75,831,-4140
74,105,831,-4320
75,105,858,-4374
76,285,978,-4374
77,450,978,-4356
78,450,1071,-4356
79,534,1071,-4431
80,534,1041,-4440
81,492,951,-4440
82,459,951,-4494
83,459,987,-4494
84,543,987,-4431
85,543,933,-4371
86,603,972,-4371
87,408,972,-4224
88,408,921,-4224
89,345,921,-4206
90,345,789,-4068
91,339,807,-4068
92,348,807,-3990
93,348,774,-3990
94,363,774,-3873
95,363,714,-3792
96,363,741,-3792
97,294,741,-3648
98,294,789,-3648
99,360,789,-3762
100,360,753,-3783
101,483,708,-3783
102,567,708,-3804
103,567,777,-3804
104,705,777,-3804
105,705,624,-3843
106,621,717,-3843
107,672,717,-3783
108,672,690,-3783
109,627,690,-3813
110,627,624,-3864
111,618,570,-3864
112,618,570,-3807
113,618,756,-3807
114,666,756,-3885
115,666,723,-3822
116,681,645,-3822
117,555,645,-3879
118,555,648,-3879
119,453,648,-3909
120,453,684,-3903
121,429,606,-3903
122,474,606,-3792
123,474,636,-3792
124,501,636,-3858
125,501,696,-3900
126,432,786,-3900
127,432,786,-3879
128,432,873,-3879
129,396,873,-3924
130,396,858,-3990
131,348,918,-3990
132,294,918,-4044
133,294,894,-4044
134,345,894,-4170
135,345,852,-4230
136,258,792,-4230
137,276,792,-4320
138,276,804,-4320
139,189,804,-4326
140,189,852,-4311
141,75,840,-4311
142,18,840,-4401
143,18,918,-4401
144,-135,918,-4371
145,-135,963,-4296
146,-147,1008,-4296
147,-135,1008,-4245
148,-135,1014,-4245
149,-153,1014,-4185
150,-153,1035,-4230
151,-120,1029,-4230
152,24,1029,-4320
153,24,978,-4320
154,75,978,-4281
155,75,978,-4329
156,36,891,-4329
157,27,891,-4254
158,27,801,-4254
159,18,801,-4215
160,18,792,-4089
161,171,846,-4089
162,246,846,-4014
163,246,891,-4014
164,315,891,-3873
165,315,843,-3954
166,333,852,-3954
