sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,648,363,3936
1,648,399,3936
2,630,399,3981
3,630,393,3972
4,675,390,3972
5,708,390,4071
6,708,474,4047
7,675,474,4047
8,675,366,4026
9,648,363,4026
10,822,363,4047
11,822,420,4086
12,1269,645,4086
13,1269,645,4401
14,1128,1023,4401
15,1338,1023,4767
16,1338,1608,5490
17,2124,1650,5490
18,2124,1650,5727
19,882,1860,5727
20,735,1860,5460
21,735,2526,5586
22,504,1971,5586
23,450,1971,5319
24,450,1197,5319
25,453,1197,5004
26,453,903,4524
27,18,504,4524
28,-45,504,3966
29,-45,591,3744
30,351,591,3744
31,351,537,3225
32,735,30,3225
33,1047,30,2868
34,1047,288,2721
35,1197,471,2721
36,1197,471,2628
37,1251,441,2628
38,1398,441,2577
39,1398,492,2592
40,1374,663,2592
41,1374,663,2796
42,1395,837,2796
43,1368,837,3288
44,1368,495,3399
45,1113,702,3399
46,504,702,3531
47,504,726,3531
48,741,726,3660
49,741,1065,4002
50,1200,480,4002
51,1611,480,4011
52,1611,192,3957
53,1374,192,3957
54,1374,90,3945
55,1062,141,3945
56,1269,141,3930
57,1269,261,3834
58,1398,261,3834
59,1398,39,3624
60,1557,-288,3624
61,1494,-288,3621
62,1494,-189,3579
63,1296,183,3579
64,1296,183,3681
65,1068,525,3681
66,1434,525,3771
67,1434,666,3846
68,1506,993,3846
69,1506,993,3897
70,1374,1185,3897
71,1023,1185,3846
72,1023,1302,4041
73,513,1353,4041
74,828,1353,4107
75,828,1533,4107
76,780,1533,4101
77,780,1683,3960
78,606,1659,3960
79,318,1659,3684
80,318,1698,3570
81,540,1698,3570
82,540,1722,3591
83,957,1713,3591
84,780,1713,3495
85,780,1725,3414
86,459,1617,3414
87,459,1617,3390
88,438,1602,3390
89,969,1602,3438
90,969,1686,3423
91,1071,1569,3423
92,960,1569,3450
93,960,1743,3450
94,702,1743,3576
95,702,1410,3756
96,-825,1617,3756
97,321,1617,4497
98,321,543,4011
99,1494,543,4011
100,1494,717,3399
101,786,1167,3399
102,363,1167,3519
103,363,1920,3972
104,630,1920,3972
105,630,2244,4743
106,1605,849,4743
107,1692,849,3621
108,1692,1251,4110
109,1176,1302,4110
110,1176,1302,3624
111,1344,1395,3624
112,1728,1395,2847
113,1728,1944,3354
114,2061,1695,3354
115,2061,1695,3102
116,2388,1548,3102
117,1908,1548,3198
118,1908,1251,3390
119,1395,633,3390
