sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,990,60,3900
1,990,-60,3966
2,783,-108,3966
3,783,-108,4236
4,786,399,4236
5,1323,399,4203
6,1323,270,4086
7,1443,339,4086
8,1638,339,4326
9,1638,243,4326
10,1641,243,4467
11,1641,-318,4359
12,1974,-468,4359
13,1770,-468,4353
14,1770,105,4845
15,1797,105,4845
16,1797,288,4803
17,966,105,4803
18,882,105,5211
19,882,21,5607
20,252,21,5607
21,252,615,5802
22,63,177,5802
23,150,177,5472
24,150,-306,4839
25,339,-213,4839
26,339,-213,4293
27,495,798,4293
28,-45,798,4092
29,-45,1551,4743
30,-108,1116,4743
31,-576,1116,4824
32,-576,720,4824
33,-957,720,4548
34,-957,-144,3891
35,-1254,-378,3891
36,-1083,-378,3318
37,-1083,225,3213
38,-816,225,3213
39,-816,879,3438
40,-120,549,3438
41,-249,549,3855
42,-249,87,3951
43,-678,60,3951
44,-678,60,3945
45,-1551,153,3945
46,-1581,153,3630
47,-1581,237,3690
48,-1134,24,3690
49,-966,24,3519
50,-966,183,3519
51,-486,183,3435
52,-486,354,3258
53,-411,675,3258
54,-423,675,3285
55,-423,930,3288
56,-309,930,3288
57,-309,1143,3606
58,330,873,3606
59,126,873,3669
60,126,357,3609
61,-285,357,3609
62,-285,225,3609
63,-210,477,3609
64,-198,477,3705
65,-198,549,3765
66,-396,321,3765
67,-396,321,3780
68,-573,111,3780
69,-336,111,4035
70,-336,282,4050
71,-423,627,4050
72,-693,627,4167
73,-693,435,4167
74,-771,435,4242
75,-771,159,4527
76,-747,204,4527
77,-924,204,4788
78,-924,156,4923
79,-1272,156,4923
80,-1272,309,5100
81,-1386,360,5100
82,-1065,360,5295
83,-1065,246,5361
84,-954,30,5361
85,-954,30,5349
86,-807,-129,5349
87,-624,-129,5532
88,-624,96,5520
89,-372,216,5520
90,-93,216,5460
91,-93,237,5460
92,48,237,5472
93,48,-111,5550
94,474,108,5550
95,795,108,5475
96,795,-21,5412
97,828,-21,5412
98,828,-57,5385
99,426,51,5385
100,249,51,5271
101,249,15,5073
102,201,-264,5073
103,201,-264,4845
104,417,-264,4845
105,540,-264,4704
106,540,-72,4518
107,588,180,4518
108,783,180,4281
109,783,165,4281
110,852,165,4110
111,852,-45,3816
112,834,-144,3816
113,750,-144,3525
114,750,-39,3333
115,903,-39,3333
116,903,39,3087
117,1128,-12,3087
118,1245,-12,3018
119,1245,-141,2697
120,1389,-324,2697
121,1389,-324,2427
122,1572,-237,2427
123,1908,-237,2091
124,1908,-168,1845
125,2253,-138,1845
126,2199,-138,1560
127,2199,-159,1560
128,2415,-159,1299
129,2415,-312,1026
130,2817,-201,1026
131,3105,-201,852
132,3105,-201,597
133,3000,-201,597
134,3000,-222,159
135,2469,-279,159
136,2505,-279,33
137,2505,-291,-75
138,2967,3,-75
139,2967,3,-246
140,3351,-141,-246
141,3552,-141,-447
142,3552,-66,-456
143,3447,-234,-456
144,3447,-234,-471
145,3270,-363,-471
146,2919,-363,-552
147,2919,-558,-579
148,2742,-447,-579
149,2754,-447,-699
150,2754,-15,-762
151,2895,-15,-762
152,2895,186,-1026
153,3198,123,-1026
154,3207,123,-1377
155,3207,282,-2043
156,3123,96,-2043
157,3123,96,-2514
158,3324,123,-2514
159,4047,123,-2955
160,4047,-255,-2940
161,4587,-162,-2940
162,4587,-162,-2886
163,4449,432,-2886
164,4263,432,-3012
165,4263,240,-3027
166,3318,-474,-3027
167,2403,-474,-2991
168,2403,-540,-2991
169,1536,-540,-3021
170,1536,-240,-2841
171,1824,-543,-2841
172,1902,-543,-2529
173,1902,-210,-2202
174,1479,-210,-2202
175,1479,-213,-2112
176,816,-690,-2112
177,-306,-690,-2004
178,-306,-1098,-1944
179,-1176,-837,-1944
180,-1176,-837,-2232
181,-900,-642,-2232
182,102,-642,-2127
183,102,-420,-2193
184,795,42,-2193
185,474,42,-2568
186,474,-27,-2568
187,174,-27,-3270
188,174,-516,-4149
189,384,-459,-4149
190,888,-459,-4971
191,888,-579,-5226
192,1155,-579,-5226
193,1155,-408,-5424
194,1350,-300,-5424
195,1227,-300,-5559
196,1227,-423,-5568
197,894,-327,-5568
198,894,-327,-5634
199,1308,-441,-5634
200,1767,-441,-5634
201,1767,-312,-5604
202,1992,-225,-5604
203,1992,-225,-5529
204,1929,-198,-5529
205,1860,-198,-5394
206,1860,-87,-5256
207,1866,-171,-5256
208,1386,-171,-5247
209,1386,-372,-5232
210,1248,-372,-5232
211,1248,-273,-5016
212,1596,-210,-5016
213,1623,-210,-4860
214,1623,-240,-4716
215,1416,-240,-4716
216,1416,-102,-4551
217,1005,-123,-4551
218,831,-123,-4308
219,831,-63,-4170
220,1050,-216,-4170
221,1050,-216,-3834
222,1416,-63,-3834
223,1188,-63,-3633
224,1188,-39,-3522
225,897,6,-3522
226,1005,6,-3402
227,1005,-27,-3402
228,1122,-27,-3252
229,1122,-117,-3150
230,1536,-393,-3150
231,1020,-393,-3180
232,1020,-234,-3177
233,963,-234,-3177
234,963,-198,-3408
235,1056,-198,-3408
236,1257,-198,-3438
237,1257,-126,-3543
238,1338,-102,-3543
239,1338,-102,-3717
240,1041,-501,-3717
241,1188,-501,-4002
242,1188,-492,-3972
243,1359,-234,-3972
244,1383,-234,-4035
245,1383,-231,-4035
246,1362,-231,-4059
247,1362,-375,-3924
248,1260,-276,-3924
249,1221,-276,-3894
250,1221,-228,-3702
251,1299,-228,-3702
252,1299,-180,-3612
253,1422,-57,-3612
254,1464,-57,-3708
255,1464,-363,-3828
256,2076,-348,-3828
257,2076,-348,-3807
258,1974,-279,-3807
259,1617,-279,-3714
260,1617,-198,-3717
261,1422,-237,-3717
262,1473,-237,-3681
263,1473,-129,-3681
264,1521,-129,-3627
265,1521,-75,-3612
266,1791,-159,-3612
267,1671,-159,-3576
268,1671,-6,-3693
269,1758,-6,-3693
270,1758,24,-3672
271,1386,21,-3672
272,1131,21,-3759
273,1131,-237,-3882
274,1200,-177,-3882
275,1200,-177,-3864
276,1569,-69,-3864
277,1758,-69,-3708
278,1758,240,-3768
279,1887,282,-3768
280,1860,282,-3708
281,1860,231,-3708
282,1605,231,-3744
283,1605,18,-3858
284,1638,-90,-3858
285,1680,-90,-3954
286,1680,60,-3930
287,1962,60,-3930
288,1962,135,-3990
289,2187,162,-3990
290,2106,162,-3858
291,2106,87,-3885
292,2004,135,-3885
293,2004,135,-3900
294,1914,228,-3900
295,2121,228,-3807
296,2121,297,-3792
297,2121,141,-3792
298,1932,141,-3819
299,1932,165,-3819
300,1953,165,-3837
301,1953,462,-3852
302,2385,261,-3852
303,2430,261,-3768
304,2430,282,-3702
305,2196,282,-3702
306,2196,387,-3672
307,2157,420,-3672
308,2514,420,-3687
309,2514,264,-3657
310,2535,93,-3657
311,2535,93,-3513
312,2445,111,-3513
313,2538,111,-3543
314,2538,120,-3528
315,2601,-9,-3528
316,2670,-9,-3441
317,2670,-66,-3441
318,2568,-66,-3447
319,2568,-30,-3345
320,2532,-162,-3345
321,2619,-162,-3126
322,2619,-129,-3057
323,2592,-129,-3057
324,2592,-30,-2829
325,2664,15,-2829
326,2571,15,-2841
327,2571,-111,-2940
328,2616,-147,-2940
329,2616,-147,-2796
330,2487,-102,-2796
331,2487,-102,-2781
332,2487,-33,-2688
333,2646,0,-2688
334,2607,0,-2775
335,2607,27,-2754
336,2208,27,-2754
337,2208,-33,-2850
338,1842,-288,-2850
339,1833,-288,-2931
340,1833,-414,-2964
341,1956,-516,-2964
342,1956,-516,-2994
343,2058,-372,-2994
344,2124,-372,-2970
345,2124,-234,-2910
346,2160,-21,-2910
347,2160,-21,-2901
348,2157,222,-2901
349,2508,222,-3291
350,2508,-6,-3531
351,2754,-300,-3531
352,2886,-300,-3561
353,2886,-327,-3471
354,2799,-327,-3471
355,2799,-150,-3411
356,2814,-18,-3411
357,2604,-18,-3423
358,2604,102,-3363
359,2535,102,-3363
360,2535,45,-3210
361,2607,-78,-3210
362,2658,-78,-3132
363,2658,-228,-3030
364,2661,3,-3030
365,2661,3,-3036
366,2910,267,-3036
367,2799,267,-3222
368,2799,-15,-3573
369,2658,-261,-3573
370,2502,-261,-3939
371,2502,-276,-3939
372,2595,-276,-4164
373,2595,-336,-4356
374,2766,249,-4356
375,2742,249,-4359
376,2742,222,-4326
377,2625,222,-4326
378,2625,60,-4389
379,2025,24,-4389
380,1827,24,-4344
381,1827,-165,-4263
382,2256,42,-4263
383,2256,42,-3834
384,2814,324,-3834
385,3033,324,-3522
386,3033,486,-3327
387,2706,408,-3327
388,2523,408,-3282
389,2523,204,-3156
390,2616,204,-3156
391,2616,-51,-3036
392,2859,51,-3036
393,3021,51,-3096
394,3021,282,-3180
395,3150,282,-3180
396,3150,378,-3402
397,3249,27,-3402
398,3315,27,-3552
399,3315,-195,-3687
400,3414,-525,-3687
401,3414,-525,-3501
402,3363,-333,-3501
403,2934,-333,-3321
404,2934,-216,-3162
405,2934,-291,-3162
406,3243,-291,-2904
407,3243,-690,-2349
408,3411,-690,-2349
409,3411,-855,-2208
410,2973,-915,-2208
411,2706,-915,-2079
412,2706,-1224,-2082
413,2853,-1224,-2082
414,2853,-1326,-1962
415,3408,-1245,-1962
416,3324,-1245,-1557
417,3324,-1323,-1317
418,2847,-1560,-1317
419,2847,-1560,-1467
420,2382,-1602,-1467
421,2535,-1602,-1470
422,2535,-1980,-1461
423,2841,-2130,-1461
424,3108,-2130,-1425
425,3108,-1881,-1425
426,2997,-1881,-1290
427,2997,-1791,-1320
428,2532,-2175,-1320
429,2547,-2175,-1392
430,2547,-2085,-1179
431,2550,-2085,-1179
432,2550,-2154,-1065
433,2577,-2043,-1065
434,2703,-2043,-1101
435,2703,-2073,-1275
436,2520,-2394,-1275
437,2520,-2394,-1422
438,2466,-2727,-1422
439,2403,-2727,-1506
440,2403,-2616,-1692
441,2052,-2616,-1692
442,2052,-2616,-1347
443,-543,-1368,-1347
444,3327,-1368,129
445,3327,-3702,-2172
446,3972,-1527,-2172
447,2289,-1527,-1893
448,2289,-2424,-2970
449,1137,-2424,-2970
450,1137,-2931,-3441
451,735,-2226,-3441
452,2988,-2226,-2775
453,2988,-2232,-2664
454,3261,-2232,-2664
455,3261,-2547,-2445
456,2577,-2682,-2445
457,1362,-2682,-2781
458,1362,-2631,-3258
459,762,-2091,-3258
460,762,-2091,-3408
461,1314,-2424,-3408
462,2703,-2424,-3087
463,2703,-3075,-3072
464,2469,-3030,-3072
465,3438,-3030,-2799
466,3438,-1833,-2799
467,4002,-1833,-2799
468,4002,-1659,-2535
469,4602,-2145,-2535
470,2301,-2145,-2841
471,2301,-3096,-2721
472,2160,-3096,-2721
473,2160,-3033,-2664
474,1569,-3384,-2664
475,1560,-3384,-2430
476,1560,-2607,-2304
477,1833,-2205,-2304
478,1833,-2205,-1923
479,2466,-1866,-1923
480,2472,-1866,-1782
481,2472,-1842,-1656
482,2790,-2055,-1656
483,3198,-2055,-1482
484,3198,-2007,-1482
485,3555,-2007,-1461
486,3555,-1812,-1506
487,3471,-1668,-1506
488,2952,-1668,-1431
489,2952,-1635,-1527
490,2967,-1635,-1527
491,2967,-1518,-1581
492,2706,-1749,-1581
493,2163,-1749,-1668
494,2163,-1728,-1863
495,2187,-1500,-1863
496,2187,-1500,-2019
497,1641,-1095,-2019
498,1602,-1095,-2280
499,1602,-921,-2469
500,1578,-588,-2469
501,1317,-588,-2850
502,1317,-264,-3246
503,1086,-264,-3246
504,1086,-87,-3591
505,1059,-147,-3591
506,1131,-147,-3633
507,1131,24,-3654
508,1125,24,-3654
509,1125,498,-3864
510,846,666,-3864
511,537,666,-4104
512,537,930,-4230
513,27,726,-4230
514,27,726,-4341
515,360,207,-4341
516,63,207,-4461
517,63,372,-4314
518,96,1002,-4314
519,189,1002,-4521
520,189,1149,-4521
521,189,1149,-4848
522,189,981,-5520
523,285,744,-5520
524,930,744,-5604
525,930,69,-5559
526,945,69,-5559
527,945,195,-5538
528,924,96,-5538
529,954,96,-5382
530,954,-42,-5061
531,855,231,-5061
532,855,231,-4812
533,627,714,-4812
534,417,714,-4641
535,417,576,-4335
536,492,348,-4335
537,252,348,-3939
538,252,141,-3939
539,78,141,-3699
540,78,378,-3396
541,156,351,-3396
542,345,351,-3246
543,345,294,-3066
544,666,294,-3066
545,666,624,-2991
546,810,231,-2991
547,894,231,-3171
548,894,807,-3669
549,699,885,-3669
550,699,885,-3633
551,912,480,-3633
552,966,480,-4158
553,966,318,-4215
554,1143,348,-4215
555,1143,348,-4521
556,1284,432,-4521
557,1485,432,-4701
558,1485,525,-4962
559,1620,462,-4962
560,1785,462,-5178
561,1785,882,-5253
562,1884,882,-5253
563,1884,642,-5163
564,2109,390,-5163
565,1938,390,-4998
566,1938,420,-4692
