sequence,AccelerometerX,AccelerometerY,AccelerometerZ
0,1464,-225,3837
1,1464,-504,3750
2,1317,-504,3750
3,1317,-381,3831
4,1044,-246,3831
5,1527,-246,3975
6,1527,-285,3942
7,1590,-285,3942
8,1590,-357,3711
9,1593,-597,3711
10,1407,-597,3615
11,1407,-453,3720
12,1569,-453,3720
13,1569,-450,3816
14,1662,-501,3816
15,1905,-501,3771
16,1905,-126,3771
17,1182,-126,3735
18,1182,-318,3792
19,627,228,3792
20,1200,228,4461
21,1200,162,4461
22,1677,162,4386
23,1677,81,4152
24,1902,387,4152
25,1902,387,4572
26,1878,1245,4572
27,2400,1245,5241
28,2400,1692,5622
29,3093,720,5622
30,3093,720,4140
31,2226,-1356,4140
32,2076,-1356,3168
33,2076,483,4017
34,2679,2220,4017
35,2679,2220,4815
36,2592,2859,4815
37,1851,2859,4965
38,1851,3012,4569
39,720,3012,4569
40,720,2787,3951
41,72,1788,3951
42,-201,1788,3459
43,-201,1251,2838
44,-297,1251,2838
45,-297,924,2460
46,-540,573,2460
47,-675,573,2019
48,-675,-69,2019
49,-600,-69,1734
50,-600,-867,1950
51,-252,-1101,1950
52,-453,-1101,2721
53,-453,-1047,2721
54,-675,-1047,3009
55,-675,-1323,2748
56,-480,-2121,2748
57,-480,-2121,2733
58,-180,-2544,2733
59,-438,-2544,3294
60,-438,-1962,4020
61,-1497,-894,4020
62,-1497,-894,4116
63,-1686,-1026,4116
64,0,-1026,4218
65,0,-1440,4539
66,1317,-1047,4539
67,1317,-1047,4758
68,1131,-783,4758
69,303,-783,4884
70,303,-414,4770
71,-465,-414,4770
72,-465,-525,4740
73,-747,-378,4740
74,-447,-378,4860
75,-447,15,4845
76,-165,15,4845
77,-165,-39,4764
78,-189,18,4764
79,-234,18,4713
80,-234,216,4713
81,-348,216,4509
82,-348,372,4527
83,-360,318,4527
84,-132,318,4719
85,-132,669,4719
86,-48,669,4950
87,-48,1233,5034
88,-42,1452,5034
89,-42,1452,4668
90,-264,1233,4668
91,-303,1233,4176
92,-303,903,3789
93,-198,771,3789
94,-198,771,3483
95,-132,846,3483
96,-30,846,3453
97,-30,1197,3369
98,285,1368,3369
99,285,1368,3408
100,702,1422,3408
101,1155,1422,3384
102,1155,1407,3303
103,1125,1407,3303
104,1125,1260,3117
105,750,1107,3117
106,351,1107,3138
107,351,1212,3183
108,183,1212,3183
109,183,1398,3309
110,318,1458,3309
111,483,1458,3369
112,483,1641,3369
113,708,1641,3375
114,708,1806,3531
115,1212,2253,3531
116,1212,2253,3726
117,1224,2640,3726
118,1299,2640,3867
119,1299,2442,3852
120,1263,2286,3852
121,1263,2286,3669
122,909,2154,3669
123,-1104,2154,3801
124,-1104,1710,4302
125,-1620,1914,4302
126,-1620,1914,3972
127,573,2283,3972
128,2163,2283,4005
129,2163,2772,4182
130,2130,2721,4182
131,2130,2721,4035
132,759,2421,4035
133,-201,2421,3513
134,-201,2004,2811
135,-162,2004,2811
136,-162,2007,2322
137,426,2148,2322
138,1656,2148,2121
139,1656,2541,2151
140,2193,2541,2151
141,2193,2427,2577
142,1752,2634,2577
143,960,2634,3138
144,960,2787,3189
145,1185,2787,3189
146,1185,2982,3258
147,1725,3141,3258
148,1989,3141,3270
149,1989,3462,3270
150,1848,3462,3057
151,1848,3537,2646
152,1848,3105,2646
153,2559,3105,2265
154,2559,2382,2265
155,2976,2382,2406
156,2976,2094,2703
157,3435,2439,2703
158,3435,2439,2703
159,3588,2928,2703
160,2997,2928,2727
161,2997,3015,2652
162,3033,3174,2652
163,3033,3174,2568
164,3393,3741,2568
165,3672,3741,2526
166,3672,4215,2541
167,2871,4473,2541
168,2871,4473,2691
169,2058,4728,2691
170,1908,4728,2661
171,1908,4848,2688
172,1386,4848,2688
173,1386,4812,2706
174,1158,4746,2706
175,834,4746,2688
176,834,4452,2592
177,345,4452,2592
178,345,4533,2400
179,252,4527,2400
180,42,4527,2391
181,42,4443,2109
182,180,4443,2109
183,180,4065,2004
184,30,4023,2004
185,-81,4023,1833
186,-81,3960,1833
187,12,3960,1794
188,12,3945,1809
189,183,3588,1809
190,351,3588,1653
191,351,3300,1653
192,207,3300,1653
193,207,3129,1620
194,-15,3159,1620
195,-15,3159,1554
196,-384,3222,1554
197,-279,3222,1497
198,-279,3282,1557
199,165,3129,1557
200,165,3129,1668
201,423,2994,1668
202,270,2994,1608
203,270,3360,1392
204,81,3003,1392
205,81,3003,1287
206,69,2643,1287
207,39,2643,1329
208,39,2592,1383
209,138,2592,1383
210,138,2718,1554
211,192,3075,1554
212,321,3075,1659
213,321,3147,1725
214,324,3147,1725
215,324,3252,1650
216,-159,3318,1650
217,-729,3318,1557
218,-729,3171,1257
219,-1092,3171,1257
220,-1092,3075,957
221,-1143,2937,957
222,-939,2937,672
223,-939,2691,651
224,-561,2691,651
225,-561,2733,765
226,-45,2943,765
227,192,2943,930
228,192,3324,930
229,249,3324,1143
230,249,3588,1248
231,264,3807,1248
232,369,3807,1308
233,369,3927,1308
234,459,3927,1308
235,459,3897,1233
236,426,3942,1233
237,426,3942,1287
238,234,4050,1287
239,-57,4050,1131
240,-57,4338,1086
241,-216,4398,1086
242,-216,4398,1083
243,-228,4419,1083
244,-168,4419,972
245,-168,4431,840
246,-153,4338,840
247,-153,4338,786
248,-222,4257,786
249,-372,4257,717
250,-372,4203,609
251,-480,4203,609
252,-480,4035,624
253,-561,3735,624
254,-630,3735,642
255,-630,3681,696
256,-516,3681,696
257,-516,3642,900
258,-417,3780,900
259,-222,3780,951
260,-222,3819,951
261,-99,3819,945
262,-99,3687,906
263,81,3621,906
264,207,3621,876
265,207,3552,876
266,162,3552,861
267,162,3708,762
268,57,3777,762
269,57,3777,756
270,-129,3852,756
271,-102,3852,636
272,-102,3942,540
273,195,4020,540
274,195,4020,504
275,414,4020,504
276,441,4020,474
277,441,4008,546
278,399,3969,546
279,399,3969,516
280,30,3864,516
281,-111,3864,486
282,-111,4056,525
283,-12,4176,525
284,-12,4176,516
285,231,4245,516
286,324,4245,516
287,324,4155,504
288,201,4155,504
289,201,4209,456
290,57,4266,456
291,-189,4266,399
292,-189,4347,444
293,-513,4347,444
294,-513,3999,339
295,-981,4326,339
296,-1005,4326,375
297,-1005,4509,375
298,-735,4509,243
299,-735,4620,135
300,-372,4527,135
301,-111,4527,108
302,-111,4710,108
303,-90,4710,9
304,-90,4599,45
305,-171,4287,45
306,-171,4287,84
307,-309,4470,84
308,-288,4470,150
309,-288,4452,204
310,-189,4332,204
311,-189,4332,249
312,-210,4197,249
313,-384,4197,225
314,-384,4152,144
315,-585,4110,144
316,-585,4110,150
317,-756,4023,150
318,-1095,4023,129
319,-1095,3846,0
320,-1200,3846,0
321,-1200,3912,-48
322,-1176,3939,-48
323,-810,3939,-57
324,-810,3930,-36
325,-714,3930,-36
326,-714,3936,-33
327,-735,4086,-33
328,-633,4086,-123
329,-633,3972,-171
330,-501,3972,-171
331,-501,3864,-72
332,-390,3759,-72
333,-552,3759,-63
334,-552,3855,-63
335,-594,3855,18
336,-594,3975,0
337,-453,4029,0
338,-291,4029,60
339,-291,4116,60
340,-165,4116,204
341,-165,4464,324
342,-348,4287,324
343,-348,4287,351
344,-699,4314,351
345,-948,4314,315
346,-948,4344,315
347,-924,4338,315
348,-924,4338,270
349,-801,4215,270
350,-732,4215,354
351,-732,4221,294
352,-489,4206,294
353,-489,4206,345
354,-171,4044,345
355,-15,4044,294
356,-15,3447,459
357,-126,3471,459
358,-126,3471,600
359,-798,3975,600
360,-1068,3975,471
361,-1068,4194,294
362,-591,4194,294
363,-591,4227,174
364,-9,3957,174
365,174,3957,240
366,174,3945,165
367,-150,3945,165
368,-150,4098,54
369,-150,4161,54
370,165,4161,-93
371,165,4164,-102
372,555,4164,-102
373,555,4113,-78
374,831,4002,-78
375,879,4002,60
376,879,3807,99
377,696,3807,99
378,696,3876,210
379,459,3942,210
380,369,3942,270
381,369,3891,270
382,372,3891,414
383,372,3816,420
384,372,3678,420
385,249,3678,471
386,249,3570,471
387,192,3570,384
388,192,3459,243
389,216,3354,243
390,216,3354,225
391,336,3315,225
392,99,3315,138
393,99,3510,225
394,-180,3702,225
395,-180,3702,255
396,-333,4083,255
397,-264,4083,360
398,-264,4464,624
399,-15,4971,624
400,-15,4971,600
401,276,5202,600
402,633,5202,591
403,633,5235,414
404,855,5235,414
405,855,5103,354
406,918,4968,354
407,666,4968,105
408,666,5028,75
409,180,5028,75
410,180,4977,-111
411,18,4545,-111
412,18,4545,-81
413,18,4155,24
414,0,4155,24
415,0,3876,54
416,-198,3795,54
417,-297,3795,123
418,-297,3756,123
419,-315,3756,165
420,-315,3678,75
421,-387,3651,75
422,-471,3651,69
423,-471,3690,69
424,-558,3690,45
425,-558,3927,39
426,-702,4086,39
427,-702,4086,-48
428,-735,4062,-48
429,-708,4062,-153
430,-708,4044,-252
431,-684,4011,-252
432,-684,4011,-213
433,-483,3960,-213
434,-318,3960,-273
435,-318,3987,-201
436,-180,4017,-201
437,-180,4017,-201
438,-66,3957,-201
439,-69,3957,-36
440,-69,4107,39
441,-147,4107,39
442,-147,4236,84
443,-234,4188,84
444,-291,4188,48
445,-291,4044,-6
446,-357,4044,-6
447,-357,4014,9
448,-321,4053,9
449,-237,4053,-57
450,-237,4092,-111
451,-147,4092,-111
452,-147,4134,-66
453,-165,4110,-66
454,-216,4110,-27
455,-216,4206,-42
456,-252,4206,-42
457,-252,4290,9
458,-279,4221,9
459,-285,4221,15
460,-285,4125,15
461,-360,4125,18
462,-360,4104,-63
463,-420,4062,-63
464,-420,4062,-81
465,-429,4098,-81
466,-333,4098,-126
467,-333,4101,-156
468,-282,4095,-156
469,-282,4095,-231
470,-288,4062,-231
471,-291,4062,-306
472,-291,4059,-267
473,-294,4059,-267
474,-294,4059,-222
475,-249,4047,-222
476,-237,4047,-207
477,-237,4089,-33
478,-267,4089,-33
479,-267,4083,-117
480,-309,3996,-117
481,-306,3996,-78
482,-306,3975,-108
483,-357,3975,-108
484,-357,3978,-141
485,-336,4026,-141
486,-255,4026,-156
487,-255,4041,-123
488,-165,4041,-123
489,-165,4110,-141
490,-201,4092,-141
491,-189,4092,-141
492,-189,4131,-141
493,-216,4131,-87
494,-216,4140,-198
495,-195,4113,-198
496,-198,4113,-156
497,-198,4158,-156
498,-231,4158,-153
499,-231,4176,-102
500,-198,4206,-102
